まいあさ | Mỗi sáng / Hàng sáng | まいあさ | Danh từ | N5 | 毎朝6時に起きます。 | Mỗi sáng tôi dậy lúc 6 giờ. | Tần suất lặp lại buổi sáng (Kanji: 毎朝) | mỗi sáng, moi sang, hàng sáng, hang sang, các buổi sáng, sáng nào cũng
まいばん | Mỗi tối / Hàng tối | まいばん | Danh từ | N5 | 毎晩日本語を勉強します。 | Mỗi tối tôi học tiếng Nhật. | Tần suất lặp lại buổi tối (Kanji: 毎晩) | mỗi tối, moi toi, hàng tối, hang toi, mỗi đêm, moi dem, tối nào cũng
まいにち | Mỗi ngày / Hàng ngày | まいにち | Danh từ | N5 | 毎日、働きます。 | Mỗi ngày tôi đều làm việc. | Tần suất lặp lại ngày (Kanji: 毎日) | mỗi ngày, moi ngay, hàng ngày, hang ngay, ngày nào cũng
げつようび | Thứ Hai | げつようび | Danh từ | N5 | 月曜日にテストがあります。 | Thứ Hai có bài kiểm tra. | Ngày thứ Hai trong tuần (Kanji: 月曜日) | thứ hai, thu hai, thứ 2, thu 2, t2
かようび | Thứ Ba | かようび | Danh từ | N5 | 火曜日は休みです。 | Thứ Ba là ngày nghỉ. | Ngày thứ Ba trong tuần (Kanji: 火曜日) | thứ ba, thu ba, thứ 3, thu 3, t3
すいようび | Thứ Tư | すいようび | Danh từ | N5 | 水曜日に病院へ行きます。 | Thứ Tư tôi đi bệnh viện. | Ngày thứ Tư trong tuần (Kanji: 水曜日) | thứ tư, thu tu, thứ 4, thu 4, t4
もくようび | Thứ Năm | もくようび | Danh từ | N5 | 木曜日に会議があります。 | Thứ Năm có cuộc họp. | Ngày thứ Năm trong tuần (Kanji: 木曜日) | thứ năm, thu nam, thứ 5, thu 5, t5
きんようび | Thứ Sáu | きんようび | Danh từ | N5 | 金曜日の夜、映画を見ます。 | Tối thứ Sáu tôi xem phim. | Ngày thứ Sáu trong tuần (Kanji: 金曜日) | thứ sáu, thu sau, thứ 6, thu 6, t6
どようび | Thứ Bảy | どようび | Danh từ | N5 | 土曜日は学校へ行きません。 | Thứ Bảy tôi không đến trường. | Ngày thứ Bảy trong tuần (Kanji: 土曜日) | thứ bảy, thu bay, thứ 7, thu 7, t7
にちようび | Chủ Nhật | にちようび | Danh từ | N5 | 日曜日に友達と遊ぶ。 | Chủ Nhật đi chơi với bạn. | Ngày Chủ Nhật trong tuần (Kanji: 日曜日) | chủ nhật, chu nhat, cn
なんようび | Thứ mấy | なんようび | Nghi vấn từ | N5 | 今日は何曜日ですか。 | Hôm nay là thứ mấy? | Từ dùng để hỏi thứ trong tuần (Kanji: 何曜日) | thứ mấy, thu may, ngày thứ mấy, ngay thu may
ばんごう | Số / Số hiệu | ばんごう | Danh từ | N5 | 電話番号は何番ですか。 | Số điện thoại là số mấy? | Số đếm, số định danh (Kanji: 番号) | số, so, số hiệu, so hieu, mã số, ma so
なんばん | Số mấy / Số bao nhiêu | なんばん | Nghi vấn từ | N5 | 部屋は何番ですか。 | Phòng số mấy vậy? | Từ dùng để hỏi số (Kanji: 何番) | số mấy, so may, số bao nhiêu, so bao nhieu
から | Từ... | から | Trợ từ | N5 | 9時から働きます。 | Làm việc từ 9 giờ. | Điểm bắt đầu thời gian hoặc địa điểm | từ, tu, từ lúc, tu luc
まで | Đến... | まで | Trợ từ | N5 | 5時まで働きます。 | Làm việc đến 5 giờ. | Điểm kết thúc thời gian hoặc địa điểm | đến, den, đến tận, den tan, cho đến, cho den
と | Và / Với | と | Trợ từ | N5 | 銀行の休みは土曜日と日曜日です。 | Ngày nghỉ của ngân hàng là thứ Bảy và Chủ Nhật. | Nối các danh từ hoặc chỉ đối tượng đi cùng | và, va, với, voi, cùng với, cung voi
